is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life,spearman
True,-3.267327860990733,0.0164,-0.62049,1.99521,NTRN-USDT,ZETA-USDT,0,24.92415,-0.132
True,-3.219804235666652,0.01887,0.12982,0.02454,NTRN-USDT,NKN-USDT,0,37.9603,0.829
True,-3.044363879119662,0.03095,0.15233,0.07843,NTRN-USDT,ALGO-USDT,0,31.21504,0.819
True,-3.5362308326135357,0.0071,0.41323,0.30833,NTRN-USDT,LUNA2-USDT,0,10.42597,0.634
True,-3.3520367582055233,0.01271,0.00198,0.0023,NTRN-USDT,LEVER-USDT,0,30.39523,0.292
True,-3.1387687352650797,0.02381,1.94254,0.31087,NTRN-USDT,MANTA-USDT,0,26.48545,0.813
True,-3.977304603030986,0.00153,17.20138,27.51729,NTRN-USDT,EGLD-USDT,0,27.39526,0.552
True,-2.9887518827357513,0.03596,5.82754,-1.08367,NTRN-USDT,WIF-USDT,0,33.2036,0.607
True,-3.4532457212008176,0.00927,0.83986,0.51738,NTRN-USDT,TWT-USDT,0,39.65869,0.776
True,-3.069120316861814,0.02892,0.09083,0.74734,NTRN-USDT,SFP-USDT,0,19.84873,0.237
True,-2.914323721473704,0.04371,0.58033,1.99678,NTRN-USDT,WAVES-USDT,0,40.40332,0.176
True,-3.485723525553345,0.00836,-0.01088,0.11622,NTRN-USDT,HBAR-USDT,0,27.25383,-0.088
True,-3.341788197288272,0.01311,0.00256,0.00054,NTRN-USDT,HOT-USDT,0,22.46466,0.89
